Original name,Name (key),Crop,Stage,Treatment,Rate (lb/ac),Rate (note),Sand-Silt-Clay,Sand-Silt-Clay (note),OM,pH,Nitrate N,Po4P of pH < 6,Po4P of pH > 6,Potassium,Magnesium,Calcium,Sulfur,Zinc,Manganese,Copper,Iron,Boron,Potassium (CEC),Magnesium (CEC),Calcium (CEC),Sodium (cation) (CEC),Hydrogen (cation) (CEC),Total CEC (CEC),SO4 (conductivity),Chlorine (conductivity),Sodium (conductivity),EC (conductivity),Fizz Test (conductivity),Water Soluble Carbon,H2O Capacity %,Orthophosphate-p (H3A Extraction),Phosphorous (H3A Extraction),Potassium (H3A Extraction),Magnesium (H3A Extraction),Calcium (H3A Extraction),Sodium (H3A Extraction),Iron (H3A Extraction),Aluminum (H3A Extraction),Nitrate (WSE),Ammonical Nitogen (WSE),Orthophosphate-P (WSE),Carbon (WSE),Total Nitrogen (WSE),CO2C Burst (Haney),Organic carbon (Haney),Organic nitrogen (Haney),Organic C/N ration (Haney),Haney Test,Nitrogen Credit via Haney,Alternaria (Pathogen),Collectotrichum (Pathogen),Clindrocarpon (Pathogen),Fusarium (Pathogen),Phytophthora (Pathogen),Pythium (Pathogen),Rhizoctonia (Pathogen),Stemphyllium (Pathogen),Verticillium (Beneficial),Macrophomina (Beneficial),Bptryosphaeria sp. (Beneficial),Aspergillus (Beneficial),Cladosporium (Beneficial),Penicillium (Beneficial),Rhizopus (Beneficial),Trichoderma (Beneficial)
Mission Spinach  8/5/19,Mission,Spinach,Pre-Novium Aplication,Control,0,,51-26-23,,2.8,6.8,19.8,,16.8,233.4,579.3,2298.9,58.5,0.7,48.7,1.6,35.8,1.4,3.3,26.9,64.1,3.5,2,17.6,175.5,51.9,146.4,0.8,1,,54.7,127.7,138,107,196,567,116,54,136,31,1,7.44,82.8,37,37,82.8,5,16.6,5,12,ND,ND,ND,++,ND,+,+,ND,ND,,,+,ND,++,ND,ND
Mission Spinach  9/10/19,Mission,Spinach,Mid-Growth,Control,0,,46-30-24,,2,6.3,63,,28.8,120.9,436.2,1744.5,21.7,0.5,39.9,1.5,23.3,0.7,2.2,25.9,62,2.8,7,13.1,65.1,19.4,93.1,0.7,1,64.1,41.2,85.2,96,87,150,468,86,37,86,66,1.8,8.82,64.1,71.6,28,64.1,3.8,16.9,3.8,11,ND,ND,ND,++,ND,+,ND,ND,ND,,,++,ND,++,+,ND
Mission Spinach  9/16/19,Mission,Spinach,Harvest,Control,0,,50-28-22,,2.4,6.9,12.6,,24.3,170.3,406,1387.9,13.3,0,18.6,1.3,35.3,0.7,3.9,30.5,62.5,2,1,11,39.9,9.6,53.1,0.4,1,90.5,42.6,114.4,116,115,169,469,66,50,103,11,1.8,9.44,90.5,16.5,65,90.5,3.7,24.5,7.8,11,ND,ND,ND,+,ND,ND,++,ND,ND,,,+,ND,+,+++,ND
Mission Spinach  10/11/19,Mission,Spinach,Fallow,Control,0,,44-32-24,,1.6,7,15.3,,11.3,186.9,566.1,2563.3,56.7,0.4,16.4,1.5,18.6,1.7,2.6,25.3,68.8,3.3,0,18.6,170.1,46.6,141.5,0.8,1,,44.5,140.2,141,88,184,216,130,39,110,33,1.7,1.71,83.5,35.1,86,83.5,0.4,208.8,9.5,4,ND,ND,ND,++,ND,++,+++,ND,+,,,+++,ND,+++,ND,ND
Mission Spinach  11/7/19,Mission,Spinach,Fallow,Control,0,,48-30-22,,1.4,7.5,43.1,,10.4,200.3,482.3,2515.7,72.5,0,19.2,1.1,19.1,1.5,2.9,22.6,70.7,3.7,0,17.8,217.5,69.8,152.5,0.8,1,,41.9,114.5,115,69,157,376,103,32,88,39,2.6,5.53,113.5,43.3,50,113.5,1.7,66.8,6.3,9,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,,Not tested,Not tested,Not tested,Not tested,Not tested
Mission Spinach  4/27/20,Mission,Spinach,Mid-growth Brassicas,Control,0,,46-30-24,,2.6,7.4,39.6,,19,191.5,472.9,2563.3,48.7,0.5,20.8,1.2,17.7,1.4,2.8,22.3,72.5,2.3,0,17.7,146.1,25.2,94.4,0.7,1,,,65.8,81,67,106,323,54,36,70,48,2,4.97,102.6,65.8,44,102.6,15.8,6.5,7,36,ND,ND,ND,++,ND,++,ND,++,ND,,,++,++,++,++,ND
Mission Spinach Lot 11  8/6/20,Mission,Spinach,Harvest,Control,0,,44-28-28,,2,6.9,27.9,,28.6,276,622.4,3032,80.8,BDL,32.5,2.1,34.4,2,3.2,23.5,68.6,3.7,1,21.9,242.4,83.3,189.5,1.1,1,,,88,93,89,143,415,90,60,112,33,2.5,5.33,202.8,38,62,202.8,2.5,81.1,8.5,10,,,,,,,,,,,,,,,,
Mission Spinach 8/5/19,Mission,Spinach,Pre-Novium Aplication,Novihum,700,,54-20-26,,2.4,7.4,24.5,,14,202.4,472,2583.7,75.9,0.4,30.4,1.8,28,1.6,2.9,21.8,71.6,3.6,0,18,227.7,65.1,152.1,0.8,1,,56.8,141.5,151,93,173,587,118,54,114,40,1.5,3.97,81.5,46.6,30,81.5,5.1,16,4.3,13,ND,ND,ND,+,ND,++,ND,ND,ND,,,++,ND,++,ND,ND
Mission Spinach  9/10/19,Mission,Spinach,Mid-Growth,Novihum,700,,56-24-20,,1.7,7.7,51.9,,13,71.5,293.2,1917.6,34.5,0.2,15.5,1,18.9,1,1.5,19.5,76.4,2.6,0,12.5,103.5,30.1,75.8,0.7,1,65.2,45.88,150.3,167,106,160,522,102,46,95,74,2.2,5.56,65.2,77.6,35,65.2,1.4,46.6,4.3,7,ND,ND,ND,++,ND,++,ND,ND,ND,,,++,ND,++,+++,ND
Mission Spinach  9/16/19,Mission,Spinach,Harvest,Novihum,700,,47-28-25,,2.4,7.6,29.2,,21.2,149.3,415.2,1827.2,29.8,0,13.8,1.3,22.4,1.1,2.9,26,68.7,2.3,0,13.3,89.4,25.1,72.1,0.5,1,116.3,44.5,133.5,136,127,196,516,70,56,114,16,1.9,8.58,116.3,21.5,121,116.3,3.6,32.3,13.6,11,ND,ND,ND,++,ND,ND,++,ND,ND,,,+,ND,+,+++,ND
Mission Spinach  10/11/19,Mission,Spinach,Fallow,Novihum,700,,54-26-20,,1.3,7.1,20.2,,12,190.8,435.4,2460.2,58.8,0.7,15.7,1.5,21.3,1.7,2.9,21.3,72.2,3.6,0,17,176.4,61.1,141.9,0.9,1,,42.1,116.3,118,72,116,123,76,34,72,39,1.1,1.06,81.6,41.2,53,81.6,1.1,74.2,6.2,4,ND,ND,ND,+,ND,++,ND,ND,ND,,,++,ND,++,+++,ND
Mission Spinach  11/7/19,Mission,Spinach,Fallow,Novihum,700,,56-28-16,,1.2,7.7,52.3,,12.5,201.3,390,2574.3,48.1,0.2,9,1,16.3,1.5,3,18.9,74.7,3.4,0,17.2,144.3,68,134.8,0.8,1,,46.9,141.5,143,81,160,532,107,38,87,45,2.6,4.57,120,48,21,120,0.4,300,3.3,6,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,,Not tested,Not tested,Not tested,Not tested,Not tested
Mission Spinach Lot 11  4/27/20,Mission,Spinach,Mid-growth Brassicas,Novihum,700,,58-24-18,,2,7.6,82.2,,17.3,150.1,303.8,2318.8,46.8,0.5,14.7,1.2,16.7,1.3,2.6,17,78.4,1.8,0,14.8,140.4,2.8,62.6,1,1,,,105.1,116,79,104,360,54,40,71,136,11.1,3.16,85,188.2,34,85,41.1,2.1,4.7,104,ND,ND,ND,++,ND,+,ND,ND,ND,,,++,++,++,++,ND
Mission Spinach Lot 11  8/6/20,Mission,Spinach,Harvest,Novihum,700,,58-22-20,,1.5,7.3,2.9,,12.9,218.1,368.1,2839.1,65.4,BDL,18.6,1.8,28.9,1.8,3,16.7,77.1,3.1,0,18.4,196.2,73.6,132.1,0.7,1,,,117.3,118,84,111,422,79,49,78,8,2,4.28,194.3,15.7,8,194.3,5.7,34.1,3.3,6,,,,,,,,,,,,,,,,
Mission Romaine  7/29/19,Mission,Romaine,Pre-Novium Aplication,Control,0,,38-36-26,,2.7,7.4,17.2,,25,175.5,524.1,2298.6,49.2,0.2,19.8,1.5,15.5,1.5,2.6,25.6,67.4,4.3,0,17.1,147.6,83.6,170.2,0.8,1,,52,37.5,43,44,116,450,86,19,81,17,0.7,7.17,84.1,25,44,84.1,7.3,11.5,6,16,ND,ND,ND,++,ND,++,+,ND,ND,,,+,ND,+,++,ND
Mission Romaine  9/10/19,Mission,Romaine,Mid-Growth,Control,0,,40-36-24,,1.9,7.8,10.8,,25.4,91.3,359.3,2037.8,12.9,0.3,18.4,1,13.6,1,1.7,21.7,73.7,2.9,0,13.8,38.7,27.9,93.5,0.5,1,73.7,43.2,70.7,80,84,178,518,123,41,147,18,0.6,11.89,73.7,23.7,39,73.7,5.1,14.5,5.1,11,ND,ND,ND,++,ND,++,ND,ND,ND,,,++,ND,++,+,ND
Mission Romaine  10/11/19,Mission,Romaine,Mid-Growth,Control,0,,38-38-24,,1.5,6.7,21.1,,35.4,210.9,500.9,2549.7,37.8,1.3,18.3,1.8,20.5,1.8,2.9,22.4,68.3,3.3,3,18.1,113.4,39.2,142,0.7,1,,,50.3,52,65,130,129,71,22,96,101,1.4,1.41,70.5,104.6,59,70.5,2.2,32.1,6.8,7,ND,ND,ND,++,ND,+++,++,ND,ND,,,++,ND,++,++,ND
Mission Romaine  10/25/19,Mission,Romaine,Harvest,Control,0,,40-38-22,,1.6,7.4,19,,23.9,156,427.4,2170.1,24.6,0.3,12.3,1,20.3,1,2.6,23.2,70.7,3.3,0,15.3,73.8,25.5,119.5,0.5,1,,41.9,58.9,60,53,156,211,92,27,113,23,4.2,11.25,93.8,28.5,61,93.8,1.3,72.2,7.2,11,ND,ND,ND,++,ND,+++,++,ND,ND,,,++,ND,++,++,ND
Mission Lot 99  4/27/20,Mission,Romaine,Mid-growth Peas,Control,0,,40-36-24,,2.5,8,7.1,,51.3,186.7,423.1,2140.2,<0.1,0.5,15.7,1.2,18.6,1.7,3.2,23.4,70.8,2.5,0,15.1,0,<0.1,89.2,0.2,1,,,47.5,53,69,115,314,64,36,15,9,0.4,12.67,131.3,23.3,46,131.3,13.9,9.5,7.3,29,ND,++,ND,+++,ND,+++,+,ND,ND,,,+,ND,+,++,ND
Mission Lot 99  8/6/20,Mission,Romaine,New-planting,Control,0,,40-34-26,,1.8,7.1,46.6,,10.6,249.7,493.9,2788.7,24.6,BDL,28.5,2,35.1,2.2,3.3,21.4,72.4,2.8,0,19.2,73.8,22.5,124.8,0.8,1,,,62.4,70,93,148,478,83,59,150,48,2.5,9.54,222.1,52.5,63,222.1,2,111.1,8.7,9,,,,,,,,,,,,,,,,
Mission Romaine  8/5/19,Mission,Romaine,Pre-Novium Aplication,Novihum,700,,44-34-22,,2.3,7.5,21.2,,26.9,154,424.4,1977.3,32.6,0.2,16.3,1.4,14.9,1.4,2.7,24.5,68.6,4,0,14.4,97.8,62.7,135.5,0.6,1,,53.9,44.9,49,51,140,450,102,26,100,12,2,9.11,78.8,19.8,18,78.8,5.8,13.6,3.2,15,ND,ND,ND,++,ND,+,ND,ND,ND,,,+,ND,+,+,ND
Mission Romaine  9/10/19,Mission,Romaine,Mid-Growth,Novihum,700,,44-34-22,,2.8,7.9,9.7,,18.7,57.2,339.7,1917.7,20.5,0.3,17.9,1.1,16.7,1.2,1.1,21.9,74,2.9,0,12.9,61.5,27.8,88.2,0.4,1,76.5,49.3,52.3,58,62,147,456,100,28,109,17,1.1,13.75,76.5,23.5,13,76.5,5.4,14.2,2.6,10,ND,ND,ND,++,ND,++,ND,ND,ND,,,++,ND,++,+++,+
Mission Romaine  10/11/19,Mission,Romaine,Mid-Growth,Novihum,700,,40-38-22,,1.4,7,24.6,,31.5,156.6,476.8,2636.8,51.4,0.8,12.5,1.4,16.8,1.8,2.2,21.9,72.6,3.2,0,18.2,154.2,59.5,136.1,0.9,1,,,43.4,44,53,125,112,83,22,91,97,1.4,1.41,65.2,99.2,40,65.2,0.8,81.5,4.7,4,ND,ND,ND,+,ND,++,++,ND,ND,,,++,ND,++,++,ND
Mission Romaine  10/25/19,Mission,Romaine,Harvest,Novihum,700,,38-40-22,,1.6,7.3,24,,20.1,167.2,452.4,2322.7,17,0.3,13.9,1,22.3,1.1,2.6,23.1,71,3.2,0,16.3,51,28.5,123.1,0.6,1,,48.9,41.9,43,49,129,122,77,24,102,28,4,8.4,82.5,32.3,71,82.5,0.3,275,8,9,ND,ND,ND,+,ND,++,++,ND,ND,,,++,ND,++,++,ND
Mission Lot 99  4/27/20,Mission,Romaine,Mid-growth Peas,Novihum,700,,44-34-22,,2.3,7.9,9.4,,26.5,162.3,379.9,2011.2,18.9,0.6,14.1,1.2,20.3,1.6,3,22.6,71.8,2.6,0,14,56.7,<0.1,83.8,0.2,1,,,31.6,36,55,88,329,5,28,79,13,0.02,12.44,121,26.1,4,121,12.9,9.4,6.5,26,ND,+,ND,+,ND,ND,+,ND,ND,,,+,ND,+,++,ND
Mission Lot 99  8/6/20,Mission,Romaine,New-planting,Novihum,700,,44-32-24,,1.4,7.2,26.2,,29.7,218.2,478.9,2611.5,27.8,BDL,26.5,1.8,32.4,2.1,3.1,21.9,71.5,3.4,0,18.2,83.4,47.2,146.2,0.7,1,,,52.2,60,81,142,430,100,47,135,16,1.8,8.64,128.9,18.8,32,128.9,1,128.9,4.6,6,,,,,,,,,,,,,,,,
Mellon Farms Lettuce  9/10/10,Mellon,Lettuce,,Control,0,,47-21-22,,2.6,8.3,8.1,,7.7,257.2,661.7,3998.6,79.7,0.8,8.3,2.3,10.7,0.9,2.4,20.4,74.1,3,0,27,239.1,21.9,186.9,0.5,1,,,130,126,106,158,354,57,71,105,19,1.9,18.12,79.8,18.6,49,71.8,1.6,40.5,4.2,5,ND,ND,ND,+,ND,+,+,ND,ND,,,+,ND,ND,+,ND
Mellon Farms Lettuce  9/10/19,Mellon,Lettuce,,Novihum,700,,54-22-22,,3,8.3,10.7,,10.9,298,747.9,4545.5,6.5,1,9.3,2.2,12.1,1,2.5,20.3,74.1,3,0,30.7,19.5,23,214,0.6,1,,,147.7,138,75,140,407,47,36,111,31,1,5.96,28.2,48.7,27,38.2,1.1,53.8,4.1,5,ND,ND,ND,ND,ND,++,+,ND,ND,,,+,ND,ND,+,ND
Melon Farms Barley  06/10/20,Mellon,Barley,Harvest,Control,0,,62-11-21,,1.6,8.1,5.3,,10.5,164.4,373,2094.9,11,0.3,5.5,1.5,14.3,1.1,2.9,21.5,72.5,3,0,14.4,33,38.2,100.2,0.5,1,,41,97,140,98,99,894,69,14,74,28,2.1,1.1,235.2,33.8,43,215.6,10.9,29.1,9.1,25,,,,,,,,,,,,,,,,
Mellon Farms Barley  6/10/20,Mellon,Barley,Harvest,Novihum,700,,53-22-23,,1.8,8.2,5.2,,11.3,209.3,414.8,2290,10.5,1.6,6.6,1.9,17.1,1.4,3.4,21.7,71.8,3.1,0,15.9,31.5,42.4,115.7,0.6,2,,46,114.3,123,61,100,1074,54,15,101,16,1.4,1.5,200.3,24.1,36,207.3,7.9,28.2,6.6,15,,,,,,,,,,,,,,,,
Crain Farms Almonds  9/23/20,Crain,Almond,Fall,Control,0,,56-26-18,,5.1,5.9,30.3,8.8,,91.7,517.2,1872,54.6,1.9,29.9,4,96.4,0.8,1.5,27,58.7,1.7,11,14.2,163.8,86.3,64.1,1.6,1,,18.9,26,40,177,344,42,84,62,172,4.1,3.6,453,146.8,111,453,0.7,647.1,15.7,10,,,,,,,,,,,,,,,,,
Crain Farms Almonds NH 700 9/23/20,Crain,Almond,Fall,Novihum,700,,60-20-20,,4.6,5.9,54.1,8.8,,90.2,497.3,1874.9,68.4,2,26.3,5,96.7,0.9,1.5,26.2,59.1,2.1,11,14.1,205.2,103,79,2.1,1,,14.7,20,31,136,228,36,59,45,170,3.9,3.87,445.7,174.2,105,445.7,0.3,1485.7,15,8,,,,,,,,,,,,,,,,,
Crain Farms Almonds NH 1200 9/23/20,Crain,Almond,Fall,Novihum,1200,,62-20-18,,4.3,5.9,46,26.4,,105.6,456.7,1744.9,29.8,10.5,8.5,1.3,14.4,2.25,1.9,26.1,59.8,1.2,11,13,89.4,56.9,42.1,1.4,1,,18.3,23,43,153,229,29,73,51,62,1.7,2.61,269.6,65.6,86,269.6,1.9,141.9,11.5,7,,,,,,,,,,,,,,,,,
Crain Farms Walnuts  9-20-19,Crain,Walnut,Fall,Control,0,,42-38-20,,2.9,6.5,58.4,,8.7,57.2,398,1593.1,31.5,10.6,20.1,2.3,37.4,0.4,1.2,27.2,65.4,1.1,5,11.6,94.5,21.7,32.6,0.7,1,,41.3,16.3,18,29,164,465,32,45,57,59,0.3,1.73,66.5,60.2,76,66.5,0.9,73.9,8.4,2,ND,ND,ND,++,++,ND,++,ND,ND,,,+,ND,+,+++,ND
Crain Farms Walnuts NH 700 9/20/19,Crain,Walnut,Fall,Novihum,700,,46-32-22,,3.1,6.1,96.3,,8.9,53.6,366.3,1444,31.4,4.7,24.1,2.4,46.8,0.4,1.2,26.4,62.3,1.1,9,10.5,94.2,33.7,29.7,0.9,1,,48.4,18.4,22,39,188,468,36,75,77,75,0.1,1.73,68.2,77,94,68.2,1.9,35.9,10.3,4,ND,ND,ND,++,++,ND,++,ND,ND,,,+,ND,+,+++,ND
Crain Farms Walnuts NH 1200 9/20/19,Crain,Walnut,Fall,Novihum,1200,,48-32-20,,3.4,6,134.4,,8.2,50.4,354.7,1372,44.6,28.2,25.9,2.3,48.6,0.4,1.2,26.4,61.2,1.2,10,10.1,133.8,29.7,31.7,1.2,1,,43.1,23.1,26,35,199,485,37,63,58,157,0.7,2.85,124.5,159.6,94,124.5,1.9,65.5,10.8,5,ND,ND,ND,++,++,ND,++,ND,ND,,,+,ND,+,+++,ND
Crain Farms Walnuts  9/23/20,Crain,Walnut,Fall,Control,0,,42-32-26,,2.7,6.9,29.7,,16.9,114.3,612.7,2174.5,24.7,0.6,15.5,4,47.7,1.2,1.7,30.3,64.6,2.3,1,16.7,74.1,73.7,89.7,0.9,1,,,14.5,18,36,135,127,48,60,76,34,1.3,2.49,290.1,40.7,57,290.1,5.4,53.7,9.1,11,,,,,,,,,,,,,,,,
Crain Farms Walnuts NH 700 9/23/20,Crain,Walnut,Fall,Novihum,700,,46-30-24,,4,6.2,41,,9.9,95.6,569.3,2048.2,34.8,1.2,20.9,4.4,91.4,1.1,1.5,28.1,60.7,1.7,8,15.5,104.4,46.8,66.3,1,1,,,14.7,19,33,157,161,41,72,63,77,1.8,2.69,401.3,79.1,96,401.3,0.3,1337.7,13.6,4,,,,,,,,,,,,,,,,
Crain Farms Walnuts NH 1200 9/23/20,Crain,Walnut,Fall,Novihum,1200,,50-30-20,,4,6.2,64.7,,20,113.4,659.1,2425.3,66.1,2.4,28.6,4.1,93.8,1.2,1.5,27.5,60.8,2.1,8,18.3,198.3,86.9,100.4,2.5,1,,,19,23,36,199,186,54,68,56,231,3.5,2.94,369.8,245.1,51,369.8,10.6,34.9,9.9,19,,,,,,,,,,,,,,,,
JV Farms Ranch 310 Hemp  10/16/19,JV,Hemp,,Control,0,,50-38-12,,1.4,7.8,26.6,,12.4,90.8,321.8,2149.9,137,2.4,15.4,1.1,14.1,1.1,1.6,18.6,74.5,5.2,0,14.4,411,119,173.9,1,1,,44.5,135.4,142,44,212,1894,142,19,32,29,0.3,2.76,87.5,31.9,10,87.5,2.6,33.7,2.1,3,,,,,,,,,,,,,,,,
JV Farms Ranch 310 Hemp  10/16/19,JV,Hemp,,Novihum,700,est,52-36-12,,1.3,7.8,36.4,,14.5,84.4,303.6,2024.6,111.2,1.4,15.2,1,9.4,1,1.6,18.5,74,5.8,0,13.7,333.6,154.7,182.3,1.1,1,,44.5,175.8,188,47,232,1964,182,22,35,44,0.1,3.06,73.3,46.9,13,73.3,2.8,26.2,2.3,4,,,,,,,,,,,,,,,,
JV Farms 318 Dispersa,JV,Lettuce,Winter planting,Novihum,700,est,12-62-26,,3.4,8.2,18.6,,31,205.9,409,2653.3,28.2,0.1,7.7,6,20.6,1.8,2.9,18.8,73,5.3,0,18.2,84.6,97,223.1,0.7,3,,,149,153,145,323,4487,281,41,66,19,1.7,8.86,184.5,30.8,8,184.5,10.1,18.3,3.7,7,,,,,,,,,,,,,,,,
JV Farms 319 Dispersa,JV,Lettuce,Winter planting,Novihum,700,est,10-62-28,,3,7.9,38.2,,106.6,186.6,440.8,2778.5,61.3,0.4,8.5,6.6,23.3,1.7,2.5,19.3,72.8,5.3,0,19.1,183.9,94.7,233.3,1.2,3,,,140,150,113,298,4403,230,40,61,36,1.9,13.81,191.7,45.8,24,191.7,7.9,24.3,5.1,12,,,,,,,,,,,,,,,,
JV Farms 324,JV,Lettuce,Winter planting,Control,0,,16-54-30,,3.5,8,52.6,,60.3,280,422.8,2770.8,35.7,0.9,10.2,5.3,23,2,3.8,18.6,73.2,4.3,0,18.9,107.1,72.7,187.5,1.1,2,,,161,164,151,240,3723,143,35,57,46,1.4,13.19,202.2,57,50,202.2,9.6,21.1,8,22,,,,,,,,,,,,,,,,
JV Farms 318 Dispersa,JV,Lettuce,Winter Harvest,Novihum,700,est,16-58-26,,2.5,7.9,60,,19,270.5,524.8,3456.8,74.4,0.7,5.6,3.8,24.5,1.3,2.9,18.2,71.7,7.2,0,24.1,223.2,117.7,399.5,1.3,3,,,147.1,166,106,244,3138,210,32,50,28,2.5,3.91,133.1,32.5,31,133.1,2,66.6,4.6,9,,,,,,,,,,,,,,,,
JV Farms 319 Dispersa,JV,Lettuce,Winter Harvest,Novihum,700,est,12-62-26,,2.3,7.9,64.6,,26,294.4,587.7,3753.4,175.9,0.8,7,5,27.7,1.6,2.8,18.3,70.2,8.6,0,26.7,527.7,244.8,530.4,2,3,,,131.7,151,109,281,3681,283,35,52,27,1.7,4.45,146.6,30.2,23,146.6,1.5,97.7,3.9,5,,,,,,,,,,,,,,,,
JV Farms 324,JV,Lettuce,Winter Harvest,Control,0,,20-52-28,,2.6,8.3,26.9,,22.9,344.6,522.6,3628.5,24.2,0.5,5.9,3.5,25.9,1.5,3.6,17.8,74.1,4.4,0,24.5,72.6,45.4,247.8,0.7,3,,,136.3,142,135,250,3538,139,45,65,10,2.4,2.58,144.6,14.5,29,144.6,2.1,68.9,4.6,8,,,,,,,,,,,,,,,,
JV Farms 330 NH25,JV,Lettuce,Winter planting,Novihum,700,est,42-38-20,,2,8,17.2,,32.8,98.9,260.6,1990.6,17.7,0.5,9.8,1.7,16.9,1,2,17,77.7,3.2,0,12.8,53.1,47.4,95.5,0.6,3,,,115,116,65,190,2030,88,31,31,16,2.2,9.12,206.3,28,20,206.3,9.8,21.1,5,12,,,,,,,,,,,,,,,,
JV Farms 332 NH25,JV,Lettuce,Winter planting,Novihum,700,est,48-26-26,,2.9,7.9,43.7,,67,166.8,462.3,2781.1,35.2,0.9,8.9,5.8,23.2,1.3,2.3,20.3,73.2,4.2,0,19,105.6,44.1,185.9,0.9,2,,,128,129,74,218,2508,114,30,39,43,2.5,12.77,235,55.2,41,235,9.7,24.2,7.4,19,,,,,,,,,,,,,,,,
